Symbol,Date,Volume,High,Low,Open,Close
msft,11/01/05,71453107,26.1000,25.6100,25.6100,25.9600
msft,11/02/05,75434181,26.5000,25.9300,25.9300,26.4600
msft,11/03/05,73421538,26.6400,26.2500,26.6000,26.4400
msft,11/04/05,57464055,26.7100,26.4500,26.5300,26.6600
msft,11/07/05,77104789,27.0810,26.7000,26.7200,27.0100
msft,11/08/05,60091660,27.1800,26.7700,26.9350,27.0495
msft,11/09/05,59562087,27.1501,26.9400,26.9800,26.9600
msft,11/10/05,73314795,27.1500,26.6399,26.9400,27.0900
msft,11/11/05,51945506,27.3901,27.1265,27.1500,27.2800
msft,11/14/05,67152149,27.4400,27.2000,27.3600,27.3500
msft,11/15/05,65080991,27.5400,27.2500,27.3300,27.5000
msft,11/16/05,86277229,27.8800,27.4400,27.4800,27.7400
msft,11/17/05,91350610,28.0003,27.7600,27.8500,27.9700
msft,11/18/05,75431251,28.2500,27.9000,28.1200,28.0700
msft,11/21/05,65794319,28.2402,27.5000,28.0700,28.1600
msft,11/22/05,104301488,28.0800,27.8600,28.0600,27.9100
msft,11/23/05,70541224,28.0900,27.7400,27.9200,27.9200
msft,11/25/05,44082441,27.9400,27.4650,27.8000,27.7600
msft,11/28/05,57517136,27.8510,27.5300,27.7900,27.7500
msft,11/29/05,62223831,27.7900,27.6000,27.7900,27.6800
msft,11/30/05,55904637,27.7702,27.6300,27.6800,27.6800
msft,12/01/05,61006074,28.1010,27.7290,27.7300,27.8900
msft,12/02/05,42319525,28.1000,27.7900,27.8200,28.0100
msft,12/05/05,47941195,28.0200,27.7100,27.9300,27.8500
msft,12/06/05,65979916,27.9210,27.6800,27.9000,27.6900
msft,12/07/05,55583202,27.7500,27.5500,27.6700,27.7500
msft,12/08/05,63931525,27.8100,27.6000,27.7100,27.6900
msft,12/09/05,48485553,27.8300,27.6400,27.7100,27.7100
msft,12/12/05,63757618,27.7500,27.3300,27.7000,27.4500
msft,12/13/05,104285480,27.4300,27.0000,27.2900,27.1301
msft,12/14/05,65076160,27.2400,26.8500,27.0000,27.0900
msft,12/15/05,79027500,27.1100,26.8100,27.0800,26.9200
msft,12/16/05,88542444,27.0800,26.8100,26.8800,26.9000
msft,12/19/05,68686959,26.8700,26.6500,26.8200,26.8300
msft,12/20/05,62960511,26.8800,26.6700,26.7600,26.8600
msft,12/21/05,75800889,26.9100,26.7098,26.8700,26.7300
msft,12/22/05,91307155,26.7800,26.4190,26.7100,26.5900
msft,12/23/05,30689138,26.6703,26.4400,26.5200,26.6400
msft,12/27/05,37822294,26.8500,26.4500,26.6800,26.4600
msft,12/28/05,37242245,26.6620,26.3500,26.5100,26.3900
msft,12/29/05,34495958,26.5001,26.2600,26.4100,26.2700
msft,12/30/05,49045192,26.3100,26.1000,26.1500,26.1500
msft,01/03/06,79974418,27.0010,26.1000,26.2500,26.8400
msft,01/04/06,57975661,27.0801,26.7700,26.7700,26.9700
msft,01/05/06,48247610,27.1300,26.9100,26.9600,26.9900
msft,01/06/06,100969092,27.0000,26.4900,26.8900,26.9100
msft,01/09/06,55627836,27.0700,26.7600,26.9300,26.8600
msft,01/10/06,64924946,27.0200,26.5900,26.6500,27.0000
msft,01/11/06,70123544,27.3900,26.9000,27.0100,27.2900
msft,01/12/06,45994725,27.2600,26.9700,27.2500,27.1400
msft,01/13/06,41449046,27.2501,27.0100,27.0300,27.1900
msft,01/17/06,58574807,27.1900,26.9000,26.9000,26.9900
msft,01/18/06,52495587,26.9800,26.7000,26.7400,26.8000
msft,01/19/06,60382450,27.2400,26.8500,26.8700,27.0200
msft,01/20/06,79228490,27.0100,26.2600,27.0100,26.4100
msft,01/23/06,47971611,26.5300,26.3000,26.4100,26.3500
msft,01/24/06,63061743,26.4501,26.2200,26.3400,26.2800
msft,01/25/06,59072711,26.5700,26.2300,26.4100,26.4000
msft,01/26/06,69531321,26.7200,26.3100,26.5600,26.5000
msft,01/27/06,134525193,27.9501,27.1900,27.2300,27.7900
msft,01/30/06,103999604,28.1800,27.7800,27.8200,28.0000
msft,01/31/06,94844406,28.3800,27.8700,27.9100,28.1500
