Symbol,Date,Volume,High,Low,Open,Close
$indu,12/21/05,0,10900.8900,10805.6300,10805.6300,10833.7300
$indu,12/22/05,0,10891.0400,10829.1600,10831.5600,10889.4400
$indu,12/23/05,0,10904.8000,10869.8300,10883.2700,10883.2700
$indu,12/27/05,0,10932.8200,10776.4900,10883.7500,10777.7700
$indu,12/28/05,0,10825.1600,10778.2500,10778.2500,10796.2600
$indu,12/29/05,0,10825.2400,10779.2200,10795.7000,10784.8200
$indu,12/30/05,0,10783.8600,10709.4200,10783.8600,10717.5000
$indu,01/03/06,0,10862.7800,10684.4500,10718.3000,10847.4100
$indu,01/04/06,0,10892.6400,10833.9000,10843.9700,10880.1500
$indu,01/05/06,0,10908.2500,10843.6500,10880.3900,10882.1500
$indu,01/06/06,0,10968.8400,10875.4500,10875.4500,10959.3100
$indu,01/09/06,0,11020.1500,10944.4300,10959.4700,11011.9000
$indu,01/10/06,0,11013.9800,10949.8700,11010.4600,11011.5800
$indu,01/11/06,0,11047.7600,10991.9700,11011.6600,11043.4400
$indu,01/12/06,0,11045.8400,10951.2300,11043.1200,10962.3600
$indu,01/13/06,0,10992.6900,10921.5300,10961.4800,10959.8700
$indu,01/17/06,0,10957.8700,10875.6000,10957.5500,10896.3200
$indu,01/18/06,0,10890.0800,10817.3200,10890.0800,10854.8600
$indu,01/19/06,0,10915.9500,10852.1300,10855.1800,10880.7100
$indu,01/20/06,0,10880.7100,10661.1500,10880.7100,10667.3900
$indu,01/23/06,0,10737.0400,10666.3500,10668.7500,10688.7700
$indu,01/24/06,0,10750.3100,10686.0400,10690.2100,10712.2200
$indu,01/25/06,0,10760.5700,10672.6000,10713.2600,10709.7400
$indu,01/26/06,0,10827.9600,10710.9400,10711.0200,10809.4700
$indu,01/27/06,0,10932.3400,10804.7500,10815.3200,10907.2100
$indu,01/30/06,0,10930.5000,10887.4400,10908.4900,10899.9200
$indu,01/31/06,0,10923.4500,10862.1400,10900.4000,10864.8600
$indu,02/01/06,0,10967.5700,10852.8200,10862.1400,10953.9500
$indu,02/02/06,0,10950.1100,10827.1600,10950.1100,10851.9800
$indu,02/03/06,0,10863.5800,10779.0600,10849.5700,10793.6200
$indu,02/06/06,0,10814.5100,10770.9700,10793.3000,10798.2700
$indu,02/07/06,0,10822.7600,10737.6700,10796.4200,10749.7600
$indu,02/08/06,0,10865.4200,10740.6300,10742.1600,10858.6200
$indu,02/09/06,0,10952.2700,10855.7400,10859.4200,10883.3500
$indu,02/10/06,0,10944.9900,10820.2000,10883.5100,10919.0500
$indu,02/13/06,0,10939.8600,10849.8900,10915.2100,10892.3200
$indu,02/14/06,0,11047.6800,10890.7200,10890.7200,11028.3900
$indu,02/15/06,0,11068.7400,10989.7200,11025.6700,11058.9700
$indu,02/16/06,0,11120.7600,11046.4000,11059.0500,11120.6800
$indu,02/17/06,0,11131.9500,11077.7000,11119.5600,11115.3200
$indu,02/21/06,0,11140.7700,11050.8100,11115.4800,11069.0600
$indu,02/22/06,0,11159.1800,11060.3300,11065.2900,11137.1700
$indu,02/23/06,0,11135.8900,11052.7300,11133.5200,11069.2200
$indu,02/24/06,0,11085.5400,11010.2200,11065.7700,11061.8500
$indu,02/27/06,0,11132.6100,11061.7300,11062.8100,11097.5500
$indu,02/28/06,0,11100.1900,10978.6100,11096.7500,10993.4100
$indu,03/01/06,0,11069.3800,10991.9700,10993.2500,11053.5300
$indu,03/02/06,0,11052.5700,10986.0500,11052.5700,11025.5100
$indu,03/03/06,0,11106.6800,10984.6100,11024.2300,11021.5900
$indu,03/06/06,0,11037.1200,10929.2200,11022.4700,10958.5900
$indu,03/07/06,0,10989.0100,10928.7400,10957.3100,10980.6900
$indu,03/08/06,0,11026.7100,10922.7300,10977.0800,11005.7400
$indu,03/09/06,0,11049.1200,10963.8800,11005.6600,10972.2800
$indu,03/10/06,0,11098.9900,10972.9200,10972.9200,11076.3400
$indu,03/13/06,0,11116.6800,11056.3300,11067.6100,11076.0200
$indu,03/14/06,0,11161.3500,11058.6500,11076.0200,11151.3400
$indu,03/15/06,0,11226.7400,11138.9300,11149.7600,11209.7700
$indu,03/16/06,0,11282.4500,11210.5700,11210.9700,11253.2400
$indu,03/17/06,0,11290.0700,11254.1200,11254.1200,11279.6500
$indu,03/20/06,0,11308.3900,11259.8000,11278.9300,11274.5300
$indu,03/21/06,0,11334.9600,11221.5400,11275.8900,11235.4700
$indu,03/22/06,0,11328.8000,11226.4200,11234.5100,11317.4300
$indu,03/23/06,0,11327.2000,11237.1500,11317.3500,11270.2900
$indu,03/24/06,0,11316.0900,11244.0300,11270.6100,11279.9700
$indu,03/27/06,0,11280.4500,11229.8600,11280.1300,11250.1100
$indu,03/28/06,0,11281.7700,11145.0200,11250.1100,11154.5400
$indu,03/29/06,0,11244.3500,11154.9400,11154.9400,11215.7000
$indu,03/30/06,0,11259.1600,11117.6400,11216.3400,11150.7000
$indu,03/31/06,0,11191.3600,11105.6500,11151.3400,11109.3200
$indu,04/03/06,0,11191.3600,11105.6500,11151.3400,11109.3200
$indu,04/04/06,0,11226.9800,11123.5700,11142.5400,11203.8500
$indu,04/05/06,0,11250.9900,11169.3500,11203.2100,11239.5500
$indu,04/06/06,0,11246.9100,11167.0300,11233.0100,11216.5000
$indu,04/07/06,0,11269.3000,11108.0200,11217.1400,11120.0400
$indu,04/10/06,0,11185.5400,11117.0800,11119.8800,11141.3300
$indu,04/11/06,0,11186.6400,11053.1700,11141.3300,11089.6300
$indu,04/12/06,0,11144.1400,11087.4700,11089.4700,11129.9700
$indu,04/13/06,0,11178.4000,11105.8000,11130.1300,11137.6500
$indu,04/17/06,0,11159.9900,11039.1200,11137.3300,11073.7800
$indu,04/18/06,0,11280.4500,11074.5800,11074.5800,11268.7700
